name,rank,lineage
Citrobacter sp. L55,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Citrobacter__544;s__Citrobacter sp. L55__1981983
Anaerovibrio slackiae,species,sk__Bacteria__2;p__Bacillota__1239;c__Negativicutes__909932;o__Selenomonadales__909929;f__Selenomonadaceae__1843491;g__Anaerovibrio__82373;s__Anaerovibrio slackiae__2652309
Klebsiella sp. P1CD1,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Klebsiella__570;s__Klebsiella sp. P1CD1__2267618
Pseudomonas nicosulfuronedens,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Pseudomonadaceae__135621;g__Pseudomonas__286;s__Pseudomonas nicosulfuronedens__2571105
Superficieibacter electus,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Superficieibacter__2303321;s__Superficieibacter electus__2022662
Staphylococcus petrasii,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Staphylococcaceae__90964;g__Staphylococcus__1279;s__Staphylococcus petrasii__1276936
Aliarcobacter faecis,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Arcobacteraceae__2808963;g__Aliarcobacter__2321111;s__Aliarcobacter faecis__1564138
Pseudomonas yamanorum,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Pseudomonadaceae__135621;g__Pseudomonas__286;s__Pseudomonas yamanorum__515393
Zavarzinia,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodospirillales__204441;f__Zavarziniaceae__2844877;g__Zavarzinia__204446
Ruania,genus,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Ruaniaceae__1331736;g__Ruania__626119
Ruminococcus sp. TF08-4,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. TF08-4__2293238
Mycetocola,genus,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Microbacteriaceae__85023;g__Mycetocola__76634
Zavarziniaceae,family,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodospirillales__204441;f__Zavarziniaceae__2844877
Pedobacter ginsenosidimutans,species,sk__Bacteria__2;p__Bacteroidota__976;c__Sphingobacteriia__117747;o__Sphingobacteriales__200666;f__Sphingobacteriaceae__84566;g__Pedobacter__84567;s__Pedobacter ginsenosidimutans__687842
Halomonas sp. YIM DKMY60,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Halomonadaceae__28256;g__Halomonas__2745;s__Halomonas sp. YIM DKMY60__368831
Desulfothermus okinawensis,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfovibrionia__3031449;o__Desulfovibrionales__213115;f__Desulfothermaceae__3064025;g__Desulfothermus__224474;s__Desulfothermus okinawensis__392842
